Date,Price
2014-03-31,105.580002
2014-04-01,106.400002
2014-04-02,107.25
2014-04-03,108.129997
2014-04-04,108.510002
2014-04-07,106.559998
2014-04-08,104.75
2014-04-09,105.660004
2014-04-10,106.589996
2014-04-11,103.849998
2014-04-14,103.919998
2014-04-15,104.150002
2014-04-16,105.410004
2014-04-17,106.139999
2014-04-21,106.68
2014-04-22,106.629997
2014-04-23,107.18
2014-04-24,107.419998
2014-04-25,106.07
2014-04-28,105.830002
2014-04-29,105.25
2014-04-30,105.550003
2014-05-01,106.309998
2014-05-02,106.209999
2014-05-05,106.349998
2014-05-06,106.839996
2014-05-07,106.629997
2014-05-08,107.480003
2014-05-09,106.260002
2014-05-12,106.980003
2014-05-13,108.199997
2014-05-14,108.150002
2014-05-15,107.419998
2014-05-16,106.269997
2014-05-19,106.779999
2014-05-20,107.239998
2014-05-21,106.839996
2014-05-22,107.300003
2014-05-23,107.559998
2014-05-27,108.550003
2014-05-28,108.489998
2014-05-29,108.620003
2014-05-30,109.370003
2014-06-02,109.309998
2014-06-03,109.120003
2014-06-04,109.25
2014-06-05,109.889999
2014-06-06,110.489998
2014-06-09,111.150002
2014-06-10,110.739998
2014-06-11,110.410004
2014-06-12,110.160004
2014-06-13,109.360001
2014-06-16,109.720001
2014-06-17,109.300003
2014-06-18,110.050003
2014-06-19,111.300003
2014-06-20,111.230003
2014-06-23,111.650002
2014-06-24,111.57
2014-06-25,110.849998
2014-06-26,111.589996
2014-06-27,110.730003
2014-06-30,111.300003
2014-07-01,112.010002
2014-07-02,112.150002
2014-07-03,112.550003
2014-07-07,112.889999
2014-07-08,111.839996
2014-07-09,111.860001
2014-07-10,110.910004
2014-07-11,111.190002
2014-07-14,111.669998
2014-07-15,111.68
2014-07-16,111.610001
2014-07-17,111.57
2014-07-18,111.349998
2014-07-21,111.639999
2014-07-22,112.029999
2014-07-23,112.050003
2014-07-24,112.230003
2014-07-25,111.889999
2014-07-28,112.339996
2014-07-29,112.720001
2014-07-30,112.260002
2014-07-31,110.489998
2014-08-01,108.959999
2014-08-04,109.290001
2014-08-05,109.839996
2014-08-06,108.620003
2014-08-07,110.510002
2014-08-08,109.169998
2014-08-11,110.709999
2014-08-12,110.139999
2014-08-13,110.800003
2014-08-14,111.110001
2014-08-15,111.57
2014-08-18,111.970001
2014-08-19,112.889999
2014-08-20,112.739998
2014-08-21,113.099998
2014-08-22,112.870003
2014-08-25,113
2014-08-26,112.919998
2014-08-27,113.25
2014-08-28,112.949997
2014-08-29,113.459999
2014-09-02,113.519997
2014-09-03,113.779999
2014-09-04,113.709999
2014-09-05,112.980003
2014-09-08,113.760002
2014-09-09,113.239998
2014-09-10,112.230003
2014-09-11,111.830002
2014-09-12,112.449997
2014-09-15,111.669998
2014-09-16,111.599998
2014-09-17,112.949997
2014-09-18,113.360001
2014-09-19,114
2014-09-22,113.559998
2014-09-23,112.650002
2014-09-24,112.199997
2014-09-25,112.589996
2014-09-26,111.269997
2014-09-29,111.099998
2014-09-30,111.620003
2014-10-01,109.949997
2014-10-02,107.360001
2014-10-03,108
2014-10-06,107.639999
2014-10-07,106.989998
2014-10-08,105.519997
2014-10-09,106.93
2014-10-10,104.07
2014-10-13,102.400002
2014-10-14,100.610001
2014-10-15,99.220001
2014-10-16,99.510002
2014-10-17,103.449997
2014-10-20,103.599998
2014-10-21,106.07
2014-10-22,108.290001
2014-10-23,107.800003
2014-10-24,106.919998
2014-10-27,107.089996
2014-10-28,105.940002
2014-10-29,107.050003
2014-10-30,105.43
2014-10-31,107.300003
2014-11-03,108.5
2014-11-04,107.370003
2014-11-05,107.089996
2014-11-06,107.620003
2014-11-07,108.599998
2014-11-10,109.169998
2014-11-11,109.360001
2014-11-12,109.639999
2014-11-13,110.199997
2014-11-14,109.779999
2014-11-17,109.919998
2014-11-18,110.349998
2014-11-19,111.220001
2014-11-20,110.370003
2014-11-21,113.010002
2014-11-24,112.790001
2014-11-25,112.629997
2014-11-26,112.199997
2014-11-28,111.330002
2014-12-01,109.370003
2014-12-02,108.279999
2014-12-03,109.260002
2014-12-04,110.760002
2014-12-05,111.269997
2014-12-08,110.839996
2014-12-09,108.489998
2014-12-10,109.599998
2014-12-11,107.809998
2014-12-12,107.010002
2014-12-15,105.059998
2014-12-16,103.5
2014-12-17,103.739998
2014-12-18,106.050003
2014-12-19,106.540001
2014-12-22,107.779999
2014-12-23,107.860001
2014-12-24,108.470001
2014-12-26,108.68
2014-12-29,108.550003
2014-12-30,108.440002
2014-12-31,109.019997
2015-01-02,107.699997
2015-01-05,107
2015-01-06,104.910004
2015-01-07,104.129997
2015-01-08,105.349998
2015-01-09,107.25
2015-01-12,106.540001
2015-01-13,106.879997
2015-01-14,103.610001
2015-01-15,104.519997
2015-01-16,103.519997
2015-01-20,105.720001
2015-01-21,104.959999
2015-01-22,106.660004
2015-01-23,107.339996
2015-01-26,105.410004
2015-01-27,105.040001
2015-01-28,105.849998
2015-01-29,103.919998
2015-01-30,104
2015-02-02,104.82
2015-02-03,105.93
2015-02-04,107.099998
2015-02-05,107.580002
2015-02-06,109.410004
2015-02-09,109.160004
2015-02-10,109.709999
2015-02-11,109.900002
2015-02-12,110.470001
2015-02-13,112.110001
2015-02-17,112.25
2015-02-18,112.599998
2015-02-19,112.720001
2015-02-20,113.389999
2015-02-23,113.230003
2015-02-24,113.75
2015-02-25,113.919998
2015-02-26,113.589996
2015-02-27,112.919998
2015-03-02,112.730003
2015-03-03,113.129997
2015-03-04,112.349998
2015-03-05,112.540001
2015-03-06,111.089996
2015-03-09,110.599998
2015-03-10,109.519997
2015-03-11,108.860001
2015-03-12,109.199997
2015-03-13,109.919998
2015-03-16,109.300003
2015-03-17,108.379997
2015-03-18,107.709999
2015-03-19,109.279999
2015-03-20,108.339996
2015-03-23,108.830002
2015-03-24,108.879997
2015-03-25,108.800003
2015-03-26,107.220001
2015-03-27,107.900002
2015-03-30,108.43
2015-03-31,108.839996
2015-04-01,108.519997
2015-04-02,108.169998
2015-04-06,108.279999
2015-04-07,109.580002
2015-04-08,109.57
2015-04-09,109.519997
2015-04-10,110.32
2015-04-13,110.300003
2015-04-14,110.040001
2015-04-15,110.660004
2015-04-16,111.279999
2015-04-17,110.470001
2015-04-20,110.529999
2015-04-21,110.860001
2015-04-22,110.050003
2015-04-23,110
2015-04-24,111.07
2015-04-27,111.660004
2015-04-28,111.809998
2015-04-29,111.559998
2015-04-30,111.720001
2015-05-01,111.809998
2015-05-04,113.269997
2015-05-05,112.709999
2015-05-06,111.900002
2015-05-07,111.309998
2015-05-08,112.75
2015-05-11,113.220001
2015-05-12,112.599998
2015-05-13,111.699997
2015-05-14,112.620003
2015-05-15,113.25
2015-05-18,113.330002
2015-05-19,113.260002
2015-05-20,112.82
2015-05-21,112.540001
2015-05-22,112.830002
2015-05-26,112.540001
2015-05-27,111.489998
2015-05-28,111.949997
2015-05-29,112.330002
2015-06-01,112
2015-06-02,111.470001
2015-06-03,112.5
2015-06-04,112.019997
2015-06-05,110.839996
2015-06-08,110.75
2015-06-09,110.480003
2015-06-10,110.879997
2015-06-11,111.839996
2015-06-12,111.529999
2015-06-15,110.519997
2015-06-16,110.190002
2015-06-17,111.220001
2015-06-18,111.459999
2015-06-19,112.18
2015-06-22,112.099998
2015-06-23,112.040001
2015-06-24,111.540001
2015-06-25,110.760002
2015-06-26,110.5
2015-06-29,109.099998
2015-06-30,108.25
2015-07-01,108.220001
2015-07-02,108.220001
2015-07-06,106.800003
2015-07-07,106.75
2015-07-08,105.699997
2015-07-09,105.129997
2015-07-10,105.290001
2015-07-13,106.260002
2015-07-14,106.940002
2015-07-15,107.389999
2015-07-16,106.690002
2015-07-17,106.120003
2015-07-20,106.18
2015-07-21,104.389999
2015-07-22,103.440002
2015-07-23,103.699997
2015-07-24,102.110001
2015-07-27,99.269997
2015-07-28,98.980003
2015-07-29,101.300003
2015-07-30,102
2015-07-31,102.730003
2015-08-03,102.050003
2015-08-04,101.400002
2015-08-05,102.480003
2015-08-06,102.360001
2015-08-07,101.660004
2015-08-10,101.050003
2015-08-11,102
2015-08-12,100.550003
2015-08-13,101.139999
2015-08-14,101.089996
2015-08-17,101.370003
2015-08-18,102.110001
2015-08-19,101.160004
2015-08-20,99.739998
2015-08-21,97.980003
2015-08-24,89.209999
2015-08-25,93.050003
2015-08-26,91.5
2015-08-27,93.730003
2015-08-28,96.029999
2015-08-31,96.160004
2015-09-01,95.459999
2015-09-02,94.470001
2015-09-03,94.93
2015-09-04,92.870003
2015-09-08,94.910004
2015-09-09,96.370003
2015-09-10,94.809998
2015-09-11,94.540001
2015-09-14,94.699997
2015-09-15,93.760002
2015-09-16,94.529999
2015-09-17,95.830002
2015-09-18,94.199997
2015-09-21,94.139999
2015-09-22,92.769997
2015-09-23,90.720001
2015-09-24,88.209999
2015-09-25,89.389999
2015-09-28,87.779999
2015-09-29,85.510002
2015-09-30,86.489998
2015-10-01,87.510002
2015-10-02,87.239998
2015-10-05,90.879997
2015-10-06,93.199997
2015-10-07,94
2015-10-08,94.879997
2015-10-09,96.949997
2015-10-12,96.599998
2015-10-13,95.230003
2015-10-14,95.449997
2015-10-15,96.330002
2015-10-16,96.660004
2015-10-19,95.970001
2015-10-20,95.5
2015-10-21,96.080002
2015-10-22,95.599998
2015-10-23,97.970001
2015-10-26,97.900002
2015-10-27,96.730003
2015-10-28,96.660004
2015-10-29,97.889999
2015-10-30,98.43
2015-11-02,98.75
2015-11-03,99.290001
2015-11-04,99.839996
2015-11-05,98.900002
2015-11-06,97.82
2015-11-09,98.459999
2015-11-10,97.559998
2015-11-11,97.370003
2015-11-12,96.419998
2015-11-13,95.029999
2015-11-16,96.129997
2015-11-17,97.5
2015-11-18,97.349998
2015-11-19,98.970001
2015-11-20,99.269997
2015-11-23,98.720001
2015-11-24,98.410004
2015-11-25,99.779999
2015-11-27,99.230003
2015-11-30,99.470001
2015-12-01,99.660004
2015-12-02,99.639999
2015-12-03,98.980003
2015-12-04,97.989998
2015-12-07,98.849998
2015-12-08,96.529999
2015-12-09,97.519997
2015-12-10,97.5
2015-12-11,95.199997
2015-12-14,94.580002
2015-12-15,94.440002
2015-12-16,94.620003
2015-12-17,95.370003
2015-12-18,93.230003
2015-12-21,92.860001
2015-12-22,93.309998
2015-12-23,94.32
2015-12-24,95.739998
2015-12-28,95.139999
2015-12-29,95.57
2015-12-30,95.68
2015-12-31,94.800003
2016-01-04,92.769997
2016-01-05,92.919998
2016-01-06,91.389999
2016-01-07,88.870003
2016-01-08,88.57
2016-01-11,87.300003
2016-01-12,86.540001
2016-01-13,86.339996
2016-01-14,84.019997
2016-01-15,83.959999
2016-01-19,84.120003
2016-01-20,80.989998
2016-01-21,81.779999
2016-01-22,83.559998
2016-01-25,83.059998
2016-01-26,81.599998
2016-01-27,82.220001
2016-01-28,82.480003
2016-01-29,82.470001
2016-02-01,84.110001
2016-02-02,84.489998
2016-02-03,84.720001
2016-02-04,86.489998
2016-02-05,88.099998
2016-02-08,86.519997
2016-02-09,84.32
2016-02-10,86.440002
2016-02-11,84
2016-02-12,84.529999
2016-02-16,86.82
2016-02-17,88.099998
2016-02-18,89.129997
2016-02-19,88.169998
2016-02-22,88.709999
2016-02-23,88.739998
2016-02-24,86.349998
2016-02-25,88.510002
2016-02-26,90.099998
2016-02-29,90.559998
2016-03-01,91.339996
2016-03-02,91.68
2016-03-03,92.480003
2016-03-04,93.220001
2016-03-07,94.199997
2016-03-08,94.5
2016-03-09,93.690002
2016-03-10,94.580002
2016-03-11,95.349998
2016-03-14,95.730003
2016-03-15,94.720001
2016-03-16,94.709999
2016-03-17,96.720001
2016-03-18,99.400002
2016-03-21,98.480003
2016-03-22,97.660004
2016-03-23,97.970001
2016-03-24,96.510002
2016-03-28,97.510002
2016-03-29,97.32
2016-03-30,98.959999
2016-03-31,98.830002
2016-04-01,97.360001
2016-04-04,98.830002
2016-04-05,97.279999
2016-04-06,97.199997
2016-04-07,97.739998
2016-04-08,97.68
2016-04-11,98.519997
2016-04-12,98.550003
2016-04-13,100.349998
2016-04-14,101.040001
2016-04-15,100.620003
2016-04-18,100.949997
2016-04-19,102.190002
2016-04-20,103.82
2016-04-21,103.940002
2016-04-22,103.449997
2016-04-25,103.459999
2016-04-26,103.510002
2016-04-27,104.440002
2016-04-28,104.529999
2016-04-29,103.970001
2016-05-02,103.889999
2016-05-03,103.139999
2016-05-04,101.150002
2016-05-05,101.720001
2016-05-06,100.68
2016-05-09,101.459999
2016-05-10,100.57
2016-05-11,102.239998
2016-05-12,103
