Date,Price
2014-03-31,45.389999
2014-04-01,45.709999
2014-04-02,45.779999
2014-04-03,45.91
2014-04-04,45.959999
2014-04-07,45.130001
2014-04-08,44.610001
2014-04-09,44.900002
2014-04-10,44.990002
2014-04-11,43.599998
2014-04-14,44.009998
2014-04-15,43.98
2014-04-16,44.419998
2014-04-17,44.619999
2014-04-21,44.630001
2014-04-22,44.669998
2014-04-23,44.849998
2014-04-24,45.130001
2014-04-25,44.790001
2014-04-28,44.52
2014-04-29,44.509998
2014-04-30,44.529999
2014-05-01,44.66
2014-05-02,44.82
2014-05-05,44.560001
2014-05-06,44.490002
2014-05-07,44.169998
2014-05-08,44.59
2014-05-09,44.720001
2014-05-12,44.860001
2014-05-13,45.23
2014-05-14,45.029999
2014-05-15,44.619999
2014-05-16,44.259998
2014-05-19,44.16
2014-05-20,44.509998
2014-05-21,44.470001
2014-05-22,44.549999
2014-05-23,44.700001
2014-05-27,45.049999
2014-05-28,45.330002
2014-05-29,45.290001
2014-05-30,45.25
2014-06-02,45.470001
2014-06-03,45.41
2014-06-04,45.48
2014-06-05,45.84
2014-06-06,46.299999
2014-06-09,46.540001
2014-06-10,46.599998
2014-06-11,46.419998
2014-06-12,46.220001
2014-06-13,46.139999
2014-06-16,45.93
2014-06-17,45.82
2014-06-18,46.360001
2014-06-19,46.650002
2014-06-20,46.689999
2014-06-23,46.77
2014-06-24,46.490002
2014-06-25,46.189999
2014-06-26,46.279999
2014-06-27,46.060001
2014-06-30,46.34
2014-07-01,46.52
2014-07-02,46.700001
2014-07-03,46.810001
2014-07-07,46.82
2014-07-08,46.599998
2014-07-09,46.43
2014-07-10,45.919998
2014-07-11,46.049999
2014-07-14,46.5
2014-07-15,46.700001
2014-07-16,46.830002
2014-07-17,46.459999
2014-07-18,46.23
2014-07-21,46.419998
2014-07-22,46.560001
2014-07-23,46.560001
2014-07-24,46.73
2014-07-25,46.669998
2014-07-28,46.560001
2014-07-29,46.549999
2014-07-30,46.470001
2014-07-31,46.220001
2014-08-01,45.389999
2014-08-04,45.310001
2014-08-05,45.299999
2014-08-06,44.939999
2014-08-07,45.470001
2014-08-08,45.099998
2014-08-11,45.630001
2014-08-12,45.509998
2014-08-13,45.740002
2014-08-14,45.919998
2014-08-15,46.189999
2014-08-18,46.16
2014-08-19,46.450001
2014-08-20,46.419998
2014-08-21,46.700001
2014-08-22,47.040001
2014-08-25,47.150002
2014-08-26,47.290001
2014-08-27,47.439999
2014-08-28,47.09
2014-08-29,47.200001
2014-09-02,47.450001
2014-09-03,47.75
2014-09-04,47.57
2014-09-05,47.349998
2014-09-08,47.490002
2014-09-09,47.450001
2014-09-10,47.139999
2014-09-11,47.040001
2014-09-12,47.330002
2014-09-15,47.150002
2014-09-16,47.040001
2014-09-17,47.330002
2014-09-18,47.66
2014-09-19,48.040001
2014-09-22,47.73
2014-09-23,47.209999
2014-09-24,46.860001
2014-09-25,46.91
2014-09-26,46.77
2014-09-29,46.32
2014-09-30,46.68
2014-10-01,46.32
2014-10-02,45.889999
2014-10-03,46.389999
2014-10-06,46.869999
2014-10-07,46.380001
2014-10-08,45.810001
2014-10-09,46.529999
2014-10-10,45.709999
2014-10-13,45.450001
2014-10-14,45.240002
2014-10-15,44.810001
2014-10-16,43.830002
2014-10-17,45.200001
2014-10-20,45.049999
2014-10-21,45.73
2014-10-22,46.34
2014-10-23,46.439999
2014-10-24,46.310001
2014-10-27,46.549999
2014-10-28,46.939999
2014-10-29,47.330002
2014-10-30,47.25
2014-10-31,48.119999
2014-11-03,48.259998
2014-11-04,48.259998
2014-11-05,48.700001
2014-11-06,48.630001
2014-11-07,48.709999
2014-11-10,48.740002
2014-11-11,48.990002
2014-11-12,48.669998
2014-11-13,48.849998
2014-11-14,48.68
2014-11-17,48.48
2014-11-18,48.560001
2014-11-19,48.619999
2014-11-20,48.25
2014-11-21,48.990002
2014-11-24,48.869999
2014-11-25,49.139999
2014-11-26,49.09
2014-11-28,49.130001
2014-12-01,49.040001
2014-12-02,48.75
2014-12-03,49.27
2014-12-04,49.389999
2014-12-05,49.639999
2014-12-08,49.799999
2014-12-09,49.5
2014-12-10,49.919998
2014-12-11,49.48
2014-12-12,49.23
2014-12-15,48.869999
2014-12-16,47.919998
2014-12-17,47.900002
2014-12-18,49.52
2014-12-19,50
2014-12-22,49.689999
2014-12-23,50.119999
2014-12-24,50.259998
2014-12-26,50.220001
2014-12-29,50.029999
2014-12-30,50.27
2014-12-31,50.369999
2015-01-02,50.060001
2015-01-05,49.59
2015-01-06,48.939999
2015-01-07,48.580002
2015-01-08,49.110001
2015-01-09,49.43
2015-01-12,48.75
2015-01-13,48.650002
2015-01-14,47.59
2015-01-15,47.599998
2015-01-16,47
2015-01-20,47.91
2015-01-21,47.450001
2015-01-22,47.799999
2015-01-23,48.580002
2015-01-26,48.189999
2015-01-27,48.130001
2015-01-28,48.369999
2015-01-29,47.360001
2015-01-30,47.32
2015-02-02,47.049999
2015-02-03,47.830002
2015-02-04,48.220001
2015-02-05,48.360001
2015-02-06,49.119999
2015-02-09,48.799999
2015-02-10,49.060001
2015-02-11,48.970001
2015-02-12,49.130001
2015-02-13,49.580002
2015-02-17,49.490002
2015-02-18,49.59
2015-02-19,49.349998
2015-02-20,49.110001
2015-02-23,49.48
2015-02-24,49.549999
2015-02-25,49.540001
2015-02-26,49.59
2015-02-27,49.400002
2015-03-02,49.330002
2015-03-03,49.580002
2015-03-04,49.400002
2015-03-05,49.330002
2015-03-06,49.369999
2015-03-09,49.060001
2015-03-10,48.830002
2015-03-11,48.5
2015-03-12,49.009998
2015-03-13,49.580002
2015-03-16,49.619999
2015-03-17,49.720001
2015-03-18,49.73
2015-03-19,49.919998
2015-03-20,49.950001
2015-03-23,50.439999
2015-03-24,50.16
2015-03-25,49.82
2015-03-26,48.84
2015-03-27,48.93
2015-03-30,49.18
2015-03-31,49.360001
2015-04-01,49.240002
2015-04-02,49.209999
2015-04-06,49.220001
2015-04-07,49.68
2015-04-08,49.389999
2015-04-09,49.450001
2015-04-10,49.490002
2015-04-13,49.419998
2015-04-14,49.650002
2015-04-15,49.73
2015-04-16,49.77
2015-04-17,49.580002
2015-04-20,49.419998
2015-04-21,49.59
2015-04-22,49.32
2015-04-23,49.470001
2015-04-24,49.639999
2015-04-27,49.59
2015-04-28,49.290001
2015-04-29,49.389999
2015-04-30,49.41
2015-05-01,49.290001
2015-05-04,49.529999
2015-05-05,49.77
2015-05-06,49.470001
2015-05-07,49.099998
2015-05-08,49.810001
2015-05-11,50.110001
2015-05-12,49.790001
2015-05-13,49.900002
2015-05-14,50.040001
2015-05-15,50.34
2015-05-18,50.099998
2015-05-19,50.490002
2015-05-20,50.77
2015-05-21,50.490002
2015-05-22,50.400002
2015-05-26,50.310001
2015-05-27,50.040001
2015-05-28,50.310001
2015-05-29,50.330002
2015-06-01,50.169998
2015-06-02,49.959999
2015-06-03,50.25
2015-06-04,50.279999
2015-06-05,50.310001
2015-06-08,50.32
2015-06-09,50.110001
2015-06-10,50.34
2015-06-11,50.959999
2015-06-12,50.91
2015-06-15,50.650002
2015-06-16,50.59
2015-06-17,50.950001
2015-06-18,51.029999
2015-06-19,51.189999
2015-06-22,51.27
2015-06-23,51.360001
2015-06-24,51.279999
2015-06-25,51.150002
2015-06-26,50.560001
2015-06-29,50.09
2015-06-30,49.880001
2015-07-01,50.330002
2015-07-02,50.389999
2015-07-06,49.720001
2015-07-07,50.009998
2015-07-08,49.73
2015-07-09,49.889999
2015-07-10,50.240002
2015-07-13,50.630001
2015-07-14,50.619999
2015-07-15,51.099998
2015-07-16,51.52
2015-07-17,51.619999
2015-07-20,51.619999
2015-07-21,51.560001
2015-07-22,51.470001
2015-07-23,51.959999
2015-07-24,51.299999
2015-07-27,50.639999
2015-07-28,50.869999
2015-07-29,50.84
2015-07-30,51.110001
2015-07-31,51.259998
2015-08-03,51.139999
2015-08-04,51.119999
2015-08-05,51.34
2015-08-06,51.240002
2015-08-07,50.970001
2015-08-10,51.34
2015-08-11,51.080002
2015-08-12,50.709999
2015-08-13,50.700001
2015-08-14,50.75
2015-08-17,51.029999
2015-08-18,51.279999
2015-08-19,51.119999
2015-08-20,50.400002
2015-08-21,49.299999
2015-08-24,47.5
2015-08-25,47.060001
2015-08-26,46.349998
2015-08-27,48.049999
2015-08-28,48.029999
2015-08-31,47.82
2015-09-01,46.77
2015-09-02,46.779999
2015-09-03,46.93
2015-09-04,46.490002
2015-09-08,46.889999
2015-09-09,47.689999
2015-09-10,46.669998
2015-09-11,46.759998
2015-09-14,47.139999
2015-09-15,47.16
2015-09-16,47.759998
2015-09-17,47.970001
2015-09-18,46.889999
2015-09-21,47
2015-09-22,46.68
2015-09-23,46.68
2015-09-24,46.380001
2015-09-25,46.66
2015-09-28,46.380001
2015-09-29,45.689999
2015-09-30,46.209999
2015-10-01,46.419998
2015-10-02,45.639999
2015-10-05,46.689999
2015-10-06,47.349998
2015-10-07,47.439999
2015-10-08,47.52
2015-10-09,48
2015-10-12,47.669998
2015-10-13,47.549999
2015-10-14,47.41
2015-10-15,47.200001
2015-10-16,48.07
2015-10-19,47.919998
2015-10-20,48.220001
2015-10-21,48.57
2015-10-22,48.27
2015-10-23,49.09
2015-10-26,49.200001
2015-10-27,48.889999
2015-10-28,48.919998
2015-10-29,49.759998
2015-10-30,49.740002
2015-11-02,49.110001
2015-11-03,49.740002
2015-11-04,49.889999
2015-11-05,49.650002
2015-11-06,50.77
2015-11-09,50.490002
2015-11-10,49.68
2015-11-11,50.110001
2015-11-12,49.630001
2015-11-13,48.970001
2015-11-16,48.59
2015-11-17,49.32
2015-11-18,49.290001
2015-11-19,49.990002
2015-11-20,50.189999
2015-11-23,50.23
2015-11-24,49.75
2015-11-25,49.990002
2015-11-27,50.040001
2015-11-30,50.279999
2015-12-01,50.27
2015-12-02,50.700001
2015-12-03,50.189999
2015-12-04,49.41
2015-12-07,50.279999
2015-12-08,49.560001
2015-12-09,49.139999
2015-12-10,48.82
2015-12-11,48.209999
2015-12-14,47.869999
2015-12-15,48.349998
2015-12-16,49.23
2015-12-17,49.84
2015-12-18,48.759998
2015-12-21,48.169998
2015-12-22,48.450001
2015-12-23,48.560001
2015-12-24,48.779999
2015-12-28,48.68
2015-12-29,49.080002
2015-12-30,49.279999
2015-12-31,48.740002
2016-01-04,47.59
2016-01-05,47.669998
2016-01-06,47.139999
2016-01-07,46.23
2016-01-08,46.23
2016-01-11,45.349998
2016-01-12,45.669998
2016-01-13,45.630001
2016-01-14,44.349998
2016-01-15,43.369999
2016-01-19,44.049999
2016-01-20,42.720001
2016-01-21,42.779999
2016-01-22,43.150002
2016-01-25,43.299999
2016-01-26,42.66
2016-01-27,43.25
2016-01-28,43.470001
2016-01-29,43.369999
2016-02-01,44.130001
2016-02-02,43.68
2016-02-03,43.290001
2016-02-04,42.959999
2016-02-05,43.450001
2016-02-08,42.34
2016-02-09,41.169998
2016-02-10,41.919998
2016-02-11,40.560001
2016-02-12,41.029999
2016-02-16,42.459999
2016-02-17,43.080002
2016-02-18,43.200001
2016-02-19,42.709999
2016-02-22,43.450001
2016-02-23,43.43
2016-02-24,42.41
2016-02-25,42.830002
2016-02-26,43.709999
2016-02-29,43.650002
2016-03-01,43.560001
2016-03-02,44.639999
2016-03-03,45.119999
2016-03-04,45.630001
2016-03-07,45.369999
2016-03-08,45.32
2016-03-09,45.09
2016-03-10,45.18
2016-03-11,45.380001
2016-03-14,45.950001
2016-03-15,45.549999
2016-03-16,45.580002
2016-03-17,45.709999
2016-03-18,46.650002
2016-03-21,46.549999
2016-03-22,46.220001
2016-03-23,46.32
2016-03-24,45.720001
2016-03-28,45.91
2016-03-29,45.779999
2016-03-30,46.389999
2016-03-31,46.32
2016-04-01,46.130001
2016-04-04,46.650002
2016-04-05,46.029999
2016-04-06,45.740002
2016-04-07,45.700001
2016-04-08,45.459999
2016-04-11,45.59
2016-04-12,45.639999
2016-04-13,46.57
2016-04-14,46.98
2016-04-15,47.299999
2016-04-18,46.93
2016-04-19,47.529999
2016-04-20,47.939999
2016-04-21,48.220001
2016-04-22,47.77
2016-04-25,48.009998
2016-04-26,48.16
2016-04-27,48.41
2016-04-28,48.110001
2016-04-29,47.779999
2016-05-02,47.790001
2016-05-03,47.68
2016-05-04,47.16
2016-05-05,47.43
2016-05-06,47.02
2016-05-09,47.52
2016-05-10,47.700001
2016-05-11,48.009998
2016-05-12,47.810001
2016-05-13,47.540001
2016-05-16,47.110001
2016-05-17,47.299999
2016-05-18,46.880001
2016-05-19,47.52
2016-05-20,47.529999
2016-05-23,47.669998
2016-05-24,47.84
2016-05-25,48.549999
2016-05-26,48.900002
2016-05-27,48.669998
2016-05-31,49.130001
2016-06-01,48.549999
2016-06-02,48.91
2016-06-03,48.580002
2016-06-06,48.560001
2016-06-07,48.849998
2016-06-08,48.639999
2016-06-09,48.549999
2016-06-10,48.009998
2016-06-13,47.68
2016-06-14,47.380001
2016-06-15,46.990002
2016-06-16,46.650002
2016-06-17,47.07
2016-06-20,47.560001
2016-06-21,47.18
2016-06-22,47.220001
2016-06-23,47.689999
2016-06-24,45.720001
2016-06-27,45.209999
2016-06-28,45.23
2016-06-29,45.990002
2016-06-30,46.77
2016-07-01,47.240002
2016-07-05,46.779999
2016-07-06,46.220001
2016-07-07,46.700001
2016-07-08,47.200001
2016-07-11,47.75
2016-07-12,48.130001
2016-07-13,48.41
2016-07-14,49.490002
2016-07-15,49.02
2016-07-18,48.77
2016-07-19,48.720001
2016-07-20,49.09
2016-07-21,48.990002
2016-07-22,48.880001
2016-07-25,49.150002
2016-07-26,49
2016-07-27,49.07
2016-07-28,48.970001
2016-07-29,49.02
2016-08-01,49.189999
2016-08-02,48.950001
2016-08-03,48.639999
2016-08-04,48.990002
2016-08-05,49.310001
2016-08-08,49.880001
2016-08-09,49.82
2016-08-10,49.889999
2016-08-11,49.66
2016-08-12,49.349998
2016-08-15,49.630001
2016-08-16,49.669998
2016-08-17,49.59
2016-08-18,49.68
2016-08-19,49.66
2016-08-22,49.66
2016-08-23,49.900002
2016-08-24,49.869999
2016-08-25,49.740002
2016-08-26,50.029999
2016-08-29,50.02
2016-08-30,50.439999
2016-08-31,50.82
2016-09-01,50.889999
2016-09-02,50.68
2016-09-06,50.849998
2016-09-07,50.450001
2016-09-08,50.599998
2016-09-09,50.43
2016-09-12,49.630001
2016-09-13,49.91
2016-09-14,49.599998
2016-09-15,49.290001
2016-09-16,49.52
2016-09-19,49.48
2016-09-20,49.599998
2016-09-21,49.470001
2016-09-22,49.790001
2016-09-23,49.650002
2016-09-26,49.18
2016-09-27,48.580002
2016-09-28,49.23
2016-09-29,49.349998
2016-09-30,48.93
2016-10-03,49.18
2016-10-04,49.209999
2016-10-05,49.52
2016-10-06,50.07
2016-10-07,49.990002
2016-10-10,50.09
2016-10-11,50.25
2016-10-12,49.82
2016-10-13,49.459999
2016-10-14,49.889999
2016-10-17,49.619999
2016-10-18,49.860001
2016-10-19,49.84
2016-10-20,50.119999
2016-10-21,49.790001
2016-10-24,50.349998
2016-10-25,50.259998
2016-10-26,50.02
2016-10-27,50.650002
2016-10-28,50.580002
2016-10-31,50.459999
2016-11-01,50.380001
2016-11-02,49.880001
2016-11-03,49.709999
2016-11-04,49.77
2016-11-07,50.389999
2016-11-08,50.599998
2016-11-09,51.650002
2016-11-10,53.700001
2016-11-11,54.540001
2016-11-14,55.669998
2016-11-15,56.139999
2016-11-16,55.939999
2016-11-17,55.759998
2016-11-18,56.400002
2016-11-21,56.75
2016-11-22,56.939999
2016-11-23,56.91
2016-11-25,57.18
2016-11-28,56.869999
2016-11-29,56.509998
2016-11-30,57.299999
2016-12-01,57.669998
2016-12-02,58.02
2016-12-05,58.07
2016-12-06,58.580002
2016-12-07,58.990002
2016-12-08,60.049999
2016-12-09,60.41
2016-12-12,60.43
2016-12-13,60.009998
2016-12-14,59.310001
2016-12-15,59.639999
2016-12-16,60.169998
2016-12-19,59.5
2016-12-20,59.900002
2016-12-21,60.279999
2016-12-22,59.98
2016-12-23,59.919998
2016-12-27,60.209999
2016-12-28,60.240002
2016-12-29,59.599998
2016-12-30,59.360001
2017-01-03,60.040001
2017-01-04,60
2017-01-05,60.330002
2017-01-06,60.080002
2017-01-09,59.869999
2017-01-10,59.610001
2017-01-11,59.82
2017-01-12,59.98
2017-01-13,60.040001
2017-01-17,59.540001
2017-01-18,58.799999
2017-01-19,59.18
2017-01-20,58.880001
2017-01-23,58.889999
2017-01-24,58.900002
2017-01-25,60.02
2017-01-26,60.52
2017-01-27,60.509998
2017-01-30,59.950001
2017-01-31,59.560001
2017-02-01,59.98
2017-02-02,59.209999
2017-02-03,60.220001
2017-02-06,60.259998
2017-02-07,60.540001
2017-02-08,59.959999
2017-02-09,59.650002
2017-02-10,60.779999
2017-02-13,60.939999
2017-02-14,61.25
2017-02-15,62.200001
2017-02-16,62.400002
2017-02-17,61.950001
2017-02-21,62.610001
