Date,Price
2014-03-31,91.169998
2014-04-01,91.839996
2014-04-02,93.010002
2014-04-03,92.790001
2014-04-04,92.57
2014-04-07,89.5
2014-04-08,89.139999
2014-04-09,90.349998
2014-04-10,91.489998
2014-04-11,88.139999
2014-04-14,88.32
2014-04-15,88.75
2014-04-16,89.730003
2014-04-17,89.580002
2014-04-21,89.980003
2014-04-22,90.349998
2014-04-23,90.739998
2014-04-24,91.349998
2014-04-25,90.209999
2014-04-28,89.559998
2014-04-29,89.970001
2014-04-30,90.18
2014-05-01,90.709999
2014-05-02,90.919998
2014-05-05,90.080002
2014-05-06,90.68
2014-05-07,89.949997
2014-05-08,89.330002
2014-05-09,89.449997
2014-05-12,90.150002
2014-05-13,91.309998
2014-05-14,91.110001
2014-05-15,90.620003
2014-05-16,90.080002
2014-05-19,90.269997
2014-05-20,91.309998
2014-05-21,91
2014-05-22,91.599998
2014-05-23,91.839996
2014-05-27,93.099998
2014-05-28,93.550003
2014-05-29,93.730003
2014-05-30,93.900002
2014-06-02,94.010002
2014-06-03,93.269997
2014-06-04,93.330002
2014-06-05,93.970001
2014-06-06,94.860001
2014-06-09,95.269997
2014-06-10,95.470001
2014-06-11,95.459999
2014-06-12,95.5
2014-06-13,95.169998
2014-06-16,95.199997
2014-06-17,95.360001
2014-06-18,96
2014-06-19,96.360001
2014-06-20,95.989998
2014-06-23,95.910004
2014-06-24,95.940002
2014-06-25,95.43
2014-06-26,96.160004
2014-06-27,95.889999
2014-06-30,96.519997
2014-07-01,97.07
2014-07-02,97.900002
2014-07-03,97.989998
2014-07-07,98.150002
2014-07-08,97.919998
2014-07-09,97.139999
2014-07-10,96.120003
2014-07-11,97.010002
2014-07-14,97.839996
2014-07-15,98.120003
2014-07-16,98.550003
2014-07-17,98.410004
2014-07-18,97.75
2014-07-21,98.379997
2014-07-22,98.860001
2014-07-23,99.480003
2014-07-24,99.559998
2014-07-25,99.190002
2014-07-28,99.239998
2014-07-29,99.389999
2014-07-30,99.400002
2014-07-31,98.5
2014-08-01,96.959999
2014-08-04,97.129997
2014-08-05,97.129997
2014-08-06,96.089996
2014-08-07,97
2014-08-08,96.379997
2014-08-11,97.279999
2014-08-12,97.480003
2014-08-13,97.589996
2014-08-14,98.559998
2014-08-15,98.93
2014-08-18,99.18
2014-08-19,100
2014-08-20,100.309998
2014-08-21,100.559998
2014-08-22,100.980003
2014-08-25,101.470001
2014-08-26,101.139999
2014-08-27,101.290001
2014-08-28,100.730003
2014-08-29,101.120003
2014-09-02,101.650002
2014-09-03,101.940002
2014-09-04,101.129997
2014-09-05,101
2014-09-08,101.410004
2014-09-09,101.699997
2014-09-10,100.940002
2014-09-11,101.339996
2014-09-12,101.830002
2014-09-15,101.650002
2014-09-16,100.230003
2014-09-17,101.260002
2014-09-18,101.720001
2014-09-19,102.419998
2014-09-22,101.529999
2014-09-23,100.459999
2014-09-24,100.440002
2014-09-25,100.870003
2014-09-26,99.190002
2014-09-29,99.099998
2014-09-30,100.260002
2014-10-01,99.910004
2014-10-02,98.379997
2014-10-03,99.050003
2014-10-06,99.82
2014-10-07,98.760002
2014-10-08,97.540001
2014-10-09,99.220001
2014-10-10,97.120003
2014-10-13,94.550003
2014-10-14,94.220001
2014-10-15,92.610001
2014-10-16,91.800003
2014-10-17,94.199997
2014-10-20,93.559998
2014-10-21,95.870003
2014-10-22,97
2014-10-23,97.150002
2014-10-24,98.129997
2014-10-27,98.199997
2014-10-28,98.730003
2014-10-29,99.849998
2014-10-30,99.540001
2014-10-31,101.519997
2014-11-03,102.279999
2014-11-04,102.410004
2014-11-05,103.110001
2014-11-06,102.540001
2014-11-07,102.900002
2014-11-10,102.879997
2014-11-11,103.110001
2014-11-12,103.040001
2014-11-13,103.779999
2014-11-14,104
2014-11-17,104.459999
2014-11-18,104.309998
2014-11-19,104.900002
2014-11-20,103.550003
2014-11-21,105.690002
2014-11-24,105.230003
2014-11-25,106.080002
2014-11-26,105.959999
2014-11-28,106.93
2014-12-01,106.830002
2014-12-02,105.790001
2014-12-03,106.220001
2014-12-04,106.669998
2014-12-05,106.970001
2014-12-08,106.489998
2014-12-09,104.080002
2014-12-10,105.949997
2014-12-11,104.5
2014-12-12,103.849998
2014-12-15,103.809998
2014-12-16,102.019997
2014-12-17,101.400002
2014-12-18,103.739998
2014-12-19,105.029999
2014-12-22,105.620003
2014-12-23,106.610001
2014-12-24,106.82
2014-12-26,106.779999
2014-12-29,106.900002
2014-12-30,106.18
2014-12-31,105.949997
2015-01-02,105.029999
2015-01-05,103.800003
2015-01-06,102.669998
2015-01-07,101.870003
2015-01-08,102.830002
2015-01-09,104.830002
2015-01-12,104.370003
2015-01-13,103.610001
2015-01-14,101.849998
2015-01-15,102.510002
2015-01-16,100.25
2015-01-20,102.18
2015-01-21,101.93
2015-01-22,102.970001
2015-01-23,104.370003
2015-01-26,104.709999
2015-01-27,102.699997
2015-01-28,103.25
2015-01-29,101.160004
2015-01-30,101.860001
2015-02-02,101
2015-02-03,102.010002
2015-02-04,102.959999
2015-02-05,103.660004
2015-02-06,104.489998
2015-02-09,103.459999
2015-02-10,104.300003
2015-02-11,105.18
2015-02-12,106.339996
2015-02-13,107.589996
2015-02-17,108.059998
2015-02-18,108
2015-02-19,108.110001
2015-02-20,108.800003
