Date,Price
2014-03-31,106.110001
2014-04-01,107.330002
2014-04-02,108.040001
2014-04-03,108.379997
2014-04-04,108.269997
2014-04-07,105.099998
2014-04-08,104.669998
2014-04-09,104.260002
2014-04-10,106.25
2014-04-11,101.790001
2014-04-14,101.849998
2014-04-15,102.089996
2014-04-16,103.400002
2014-04-17,103.209999
2014-04-21,103.480003
2014-04-22,105.349998
2014-04-23,105.919998
2014-04-24,105.610001
2014-04-25,104.730003
2014-04-28,104.709999
2014-04-29,104.879997
2014-04-30,105.150002
2014-05-01,105.419998
2014-05-02,105.949997
2014-05-05,104.300003
2014-05-06,105.480003
2014-05-07,104.739998
2014-05-08,104.480003
2014-05-09,104
2014-05-12,105.150002
2014-05-13,106.169998
2014-05-14,106.349998
2014-05-15,105.860001
2014-05-16,105.25
2014-05-19,105.43
2014-05-20,106.25
2014-05-21,105.739998
2014-05-22,106.260002
2014-05-23,107.050003
2014-05-27,107.68
2014-05-28,108.040001
2014-05-29,107.809998
2014-05-30,108.510002
2014-06-02,108.739998
2014-06-03,108.330002
2014-06-04,108.849998
2014-06-05,109.5
2014-06-06,109.720001
2014-06-09,109.709999
2014-06-10,109.339996
2014-06-11,109.360001
2014-06-12,109.5
2014-06-13,109.059998
2014-06-16,109.32
2014-06-17,109.199997
2014-06-18,109.209999
2014-06-19,110.290001
2014-06-20,111
2014-06-23,111.470001
2014-06-24,111.209999
2014-06-25,110.900002
2014-06-26,112.230003
2014-06-27,111.870003
2014-06-30,111.919998
2014-07-01,111.879997
2014-07-02,113.230003
2014-07-03,114.220001
2014-07-07,114.010002
2014-07-08,112.940002
2014-07-09,112.099998
2014-07-10,111.400002
2014-07-11,112.18
2014-07-14,112.879997
2014-07-15,112.959999
2014-07-16,112.160004
2014-07-17,110.980003
2014-07-18,110.370003
2014-07-21,111.739998
2014-07-22,112.029999
2014-07-23,113.459999
2014-07-24,113.830002
2014-07-25,113.080002
2014-07-28,112.940002
2014-07-29,113.150002
2014-07-30,113.669998
2014-07-31,113.089996
2014-08-01,111.019997
2014-08-04,111.510002
2014-08-05,111.510002
2014-08-06,110.470001
2014-08-07,111.199997
2014-08-08,109.75
2014-08-11,111.489998
2014-08-12,110.879997
2014-08-13,111.400002
2014-08-14,112.589996
2014-08-15,113.910004
2014-08-18,114.18
2014-08-19,114.879997
2014-08-20,115.139999
2014-08-21,115.32
2014-08-22,115.339996
2014-08-25,115.93
2014-08-26,116.43
2014-08-27,117.300003
2014-08-28,116.68
2014-08-29,116.940002
2014-09-02,117.529999
2014-09-03,118.07
2014-09-04,118.099998
2014-09-05,116.849998
2014-09-08,117.25
2014-09-09,117.610001
2014-09-10,117.169998
2014-09-11,117.690002
2014-09-12,117.900002
2014-09-15,116.889999
2014-09-16,116.199997
2014-09-17,117.900002
2014-09-18,118.800003
2014-09-19,119.629997
2014-09-22,118.870003
2014-09-23,117.199997
2014-09-24,117.809998
2014-09-25,119.349998
2014-09-26,117.989998
2014-09-29,117
2014-09-30,118.059998
2014-10-01,116.860001
2014-10-02,115.75
2014-10-03,116.75
2014-10-06,118.93
2014-10-07,116.959999
2014-10-08,115.589996
2014-10-09,118.059998
2014-10-10,115.650002
2014-10-13,114.849998
2014-10-14,113.029999
2014-10-15,110.18
2014-10-16,109.129997
2014-10-17,112.82
2014-10-20,112.599998
2014-10-21,114.910004
2014-10-22,117.07
2014-10-23,117
2014-10-24,118.57
2014-10-27,120
2014-10-28,120.919998
2014-10-29,121.029999
2014-10-30,120.760002
2014-10-31,124.879997
2014-11-03,123.889999
2014-11-04,123.75
2014-11-05,124.75
2014-11-06,123.650002
2014-11-07,124.269997
2014-11-10,123.129997
2014-11-11,124.290001
2014-11-12,124.18
2014-11-13,124.660004
2014-11-14,124.309998
2014-11-17,123.050003
2014-11-18,124.019997
2014-11-19,125.779999
2014-11-20,124.559998
2014-11-21,126.209999
2014-11-24,125.730003
2014-11-25,126.75
2014-11-26,126.389999
2014-11-28,127.639999
2014-12-01,127.309998
2014-12-02,127.629997
2014-12-03,128.880005
2014-12-04,128.910004
2014-12-05,128.949997
2014-12-08,129.729996
2014-12-09,129.100006
2014-12-10,129.860001
2014-12-11,128.169998
2014-12-12,127.599998
2014-12-15,127.239998
2014-12-16,124.550003
2014-12-17,124.150002
2014-12-18,127.5
2014-12-19,128.779999
2014-12-22,128.389999
2014-12-23,128.550003
2014-12-24,124.919998
2014-12-26,126.32
2014-12-29,126.940002
2014-12-30,127.199997
2014-12-31,127
2015-01-02,126.080002
2015-01-05,125.849998
2015-01-06,125.699997
2015-01-07,125.739998
2015-01-08,129.229996
2015-01-09,130.369995
2015-01-12,129.880005
2015-01-13,129.880005
2015-01-14,127.190002
2015-01-15,128.770004
2015-01-16,126.720001
2015-01-20,129.440002
2015-01-21,129.119995
2015-01-22,129.889999
2015-01-23,130.720001
2015-01-26,130.5
2015-01-27,130.039993
2015-01-28,130.990005
2015-01-29,128.740005
2015-01-30,129.270004
2015-02-02,128.130005
2015-02-03,128.949997
2015-02-04,127.650002
2015-02-05,128.369995
2015-02-06,130
2015-02-09,128.050003
2015-02-10,127.75
2015-02-11,129
2015-02-12,129.919998
2015-02-13,129.970001
2015-02-17,130.479996
2015-02-18,131.449997
2015-02-19,131.5
2015-02-20,131.860001
2015-02-23,133.630005
2015-02-24,134.149994
2015-02-25,133.589996
2015-02-26,134.070007
2015-02-27,134.139999
2015-03-02,133.679993
2015-03-03,134.410004
2015-03-04,133.520004
2015-03-05,134.630005
2015-03-06,134.490005
2015-03-09,132.929993
2015-03-10,132.850006
2015-03-11,132.389999
2015-03-12,132.600006
2015-03-13,133.559998
2015-03-16,134.600006
2015-03-17,136.160004
2015-03-18,135.860001
2015-03-19,137.630005
2015-03-20,139.880005
2015-03-23,139.160004
2015-03-24,138.979996
2015-03-25,137.960007
2015-03-26,134.080002
2015-03-27,134.740005
2015-03-30,137.240005
2015-03-31,136.979996
2015-04-01,135.309998
2015-04-02,133.899994
2015-04-06,133.669998
2015-04-07,134.410004
2015-04-08,134.990005
2015-04-09,135.990005
2015-04-10,136.789993
2015-04-13,137.929993
2015-04-14,137.75
2015-04-15,138.199997
2015-04-16,138.089996
2015-04-17,137.429993
2015-04-20,137.570007
2015-04-21,138.440002
2015-04-22,138.869995
2015-04-23,138.460007
2015-04-24,139.589996
2015-04-27,139.600006
2015-04-28,136.460007
2015-04-29,135.880005
2015-04-30,134.570007
2015-05-01,133.740005
2015-05-04,135
2015-05-05,135.539993
2015-05-06,134.539993
2015-05-07,133.5
2015-05-08,135.75
2015-05-11,136.800003
2015-05-12,135.880005
2015-05-13,136.350006
2015-05-14,136.580002
2015-05-15,137.949997
2015-05-18,137.919998
2015-05-19,139.199997
2015-05-20,139.770004
2015-05-21,139.789993
2015-05-22,139.619995
2015-05-26,139.910004
2015-05-27,138.880005
2015-05-28,139.929993
2015-05-29,139.899994
2015-06-01,140.660004
2015-06-02,139.919998
2015-06-03,139.940002
2015-06-04,139.479996
2015-06-05,138.539993
2015-06-08,139.490005
2015-06-09,138.539993
2015-06-10,138.5
2015-06-11,140.009995
2015-06-12,140.419998
2015-06-15,138.300003
2015-06-16,139.039993
2015-06-17,140.080002
2015-06-18,140.490005
2015-06-19,143.550003
2015-06-22,143.259995
2015-06-23,143.699997
2015-06-24,143.429993
2015-06-25,142.5
2015-06-26,143.419998
2015-06-29,141.009995
2015-06-30,140.339996
2015-07-01,141.350006
2015-07-02,141.330002
2015-07-06,139.199997
2015-07-07,140.710007
2015-07-08,139.990005
2015-07-09,139.949997
2015-07-10,141.029999
2015-07-13,142.399994
2015-07-14,142.850006
2015-07-15,144.979996
2015-07-16,145.490005
2015-07-17,145.25
2015-07-20,145.649994
2015-07-21,146
2015-07-22,144.369995
2015-07-23,145.610001
2015-07-24,144
2015-07-27,140.490005
2015-07-28,141.869995
2015-07-29,143.830002
2015-07-30,142.970001
2015-07-31,143.649994
2015-08-03,144.139999
2015-08-04,144.009995
2015-08-05,144.679993
2015-08-06,145.089996
2015-08-07,141.440002
2015-08-10,142.190002
2015-08-11,141
2015-08-12,140.009995
2015-08-13,141.210007
2015-08-14,140.679993
