Date,Price
2014-03-31,99.75
2014-04-01,100.970001
2014-04-02,101.400002
2014-04-03,102.25
2014-04-04,102.519997
2014-04-07,100.449997
2014-04-08,99.019997
2014-04-09,99.550003
2014-04-10,100.699997
2014-04-11,97.75
2014-04-14,98.300003
2014-04-15,98.199997
2014-04-16,99.169998
2014-04-17,100.470001
2014-04-21,101.129997
2014-04-22,101.519997
2014-04-23,101.900002
2014-04-24,102.360001
2014-04-25,101.32
2014-04-28,101.010002
2014-04-29,100.919998
2014-04-30,100.75
2014-05-01,101.400002
2014-05-02,101.379997
2014-05-05,100.919998
2014-05-06,101.099998
2014-05-07,100.800003
2014-05-08,101.239998
2014-05-09,100.989998
2014-05-12,101.75
2014-05-13,103.160004
2014-05-14,102.970001
2014-05-15,101.639999
2014-05-16,101.230003
2014-05-19,100.919998
2014-05-20,101.68
2014-05-21,100.690002
2014-05-22,101.279999
2014-05-23,101.739998
2014-05-27,102.870003
2014-05-28,103.25
2014-05-29,103.330002
2014-05-30,103.349998
2014-06-02,103.559998
2014-06-03,103.089996
2014-06-04,103.389999
2014-06-05,103.900002
2014-06-06,104.82
2014-06-09,105.75
2014-06-10,106.379997
2014-06-11,105.760002
2014-06-12,105.239998
2014-06-13,103.839996
2014-06-16,103.959999
2014-06-17,104.059998
2014-06-18,104.540001
2014-06-19,105.129997
2014-06-20,105.260002
2014-06-23,105.779999
2014-06-24,104.959999
2014-06-25,103.769997
2014-06-26,104.32
2014-06-27,103.900002
2014-06-30,104.480003
2014-07-01,104.489998
2014-07-02,104.760002
2014-07-03,105.040001
2014-07-07,105.349998
2014-07-08,104.32
2014-07-09,104.169998
2014-07-10,102.830002
2014-07-11,103.419998
2014-07-14,104.459999
2014-07-15,104.540001
2014-07-16,104.790001
2014-07-17,104.43
2014-07-18,103.660004
2014-07-21,103.910004
2014-07-22,104.43
2014-07-23,104.699997
2014-07-24,104.220001
2014-07-25,103.400002
2014-07-28,103.220001
2014-07-29,102.559998
2014-07-30,101.870003
2014-07-31,100.860001
2014-08-01,99.139999
2014-08-04,99.739998
2014-08-05,99.269997
2014-08-06,98.82
2014-08-07,99.449997
2014-08-08,98.970001
2014-08-11,100.639999
2014-08-12,100.669998
2014-08-13,100.879997
2014-08-14,101.599998
2014-08-15,102.5
2014-08-18,102.459999
2014-08-19,103.690002
2014-08-20,103.720001
2014-08-21,104.580002
2014-08-22,104.330002
2014-08-25,104.650002
2014-08-26,104.690002
2014-08-27,104.379997
2014-08-28,103.889999
2014-08-29,104.040001
2014-09-02,103.980003
2014-09-03,104.699997
2014-09-04,104.260002
2014-09-05,104.139999
