Date,Price
2014-03-31,70.449997
2014-04-01,70.769997
2014-04-02,70.900002
2014-04-03,71.099998
2014-04-04,71.150002
2014-04-07,71.110001
2014-04-08,71.379997
2014-04-09,72
2014-04-10,71.690002
2014-04-11,70.769997
2014-04-14,70.830002
2014-04-15,70.989998
2014-04-16,71.980003
2014-04-17,72.139999
2014-04-21,71.870003
2014-04-22,72.260002
2014-04-23,72.330002
2014-04-24,72.199997
2014-04-25,72.389999
2014-04-28,72.290001
2014-04-29,72.849998
2014-04-30,72.82
2014-05-01,73.059998
2014-05-02,72.900002
2014-05-05,73
2014-05-06,73.059998
2014-05-07,73.279999
2014-05-08,73.970001
2014-05-09,74.220001
2014-05-12,74.139999
2014-05-13,74.480003
2014-05-14,74.050003
2014-05-15,74.050003
2014-05-16,74.029999
2014-05-19,74.610001
2014-05-20,74.389999
2014-05-21,74.360001
2014-05-22,73.690002
2014-05-23,73.489998
2014-05-27,74.339996
2014-05-28,74.400002
2014-05-29,74.300003
2014-05-30,74.279999
2014-06-02,74.919998
2014-06-03,74.910004
2014-06-04,74.889999
2014-06-05,75.199997
2014-06-06,76.769997
2014-06-09,76.169998
2014-06-10,75.110001
2014-06-11,74.309998
2014-06-12,74.400002
2014-06-13,74.220001
2014-06-16,74.349998
2014-06-17,73.980003
2014-06-18,74.230003
2014-06-19,74.940002
2014-06-20,75.360001
2014-06-23,75.589996
2014-06-24,74.620003
2014-06-25,74.589996
2014-06-26,74.559998
2014-06-27,74.339996
2014-06-30,75.07
2014-07-01,74.889999
2014-07-02,75.239998
2014-07-03,74.790001
2014-07-07,74.510002
2014-07-08,74.620003
2014-07-09,75.169998
2014-07-10,74.809998
2014-07-11,75.5
2014-07-14,75.720001
2014-07-15,75.959999
2014-07-16,76.120003
2014-07-17,76.059998
2014-07-18,75.849998
2014-07-21,76.360001
2014-07-22,76.410004
2014-07-23,76.610001
2014-07-24,76.849998
2014-07-25,76.660004
2014-07-28,76.150002
2014-07-29,76.699997
2014-07-30,76.169998
2014-07-31,75.650002
2014-08-01,74.889999
2014-08-04,74.919998
2014-08-05,74.949997
2014-08-06,74.260002
2014-08-07,74.669998
2014-08-08,74.599998
2014-08-11,75.120003
2014-08-12,75.370003
2014-08-13,75.410004
2014-08-14,76.5
2014-08-15,76.550003
2014-08-18,76.410004
2014-08-19,77.150002
2014-08-20,77.150002
2014-08-21,77.550003
2014-08-22,77.339996
2014-08-25,77.129997
2014-08-26,76.620003
2014-08-27,76.82
2014-08-28,76.720001
2014-08-29,76.870003
2014-09-02,77.050003
2014-09-03,77.349998
2014-09-04,77.389999
2014-09-05,77.230003
2014-09-08,77.860001
2014-09-09,77.839996
2014-09-10,77.25
2014-09-11,76.059998
2014-09-12,75.849998
2014-09-15,73.830002
2014-09-16,73.529999
2014-09-17,74.449997
2014-09-18,74.290001
2014-09-19,73.550003
2014-09-22,73.550003
2014-09-23,73.029999
2014-09-24,71.849998
2014-09-25,71.709999
2014-09-26,71.239998
2014-09-29,71.879997
2014-09-30,72.239998
2014-10-01,71.599998
2014-10-02,71.849998
2014-10-03,72.089996
2014-10-06,72.43
2014-10-07,72.290001
2014-10-08,72.040001
2014-10-09,73.349998
2014-10-10,73.529999
2014-10-13,73.800003
2014-10-14,73.870003
2014-10-15,74.489998
2014-10-16,73.489998
2014-10-17,75.169998
2014-10-20,74.800003
2014-10-21,76.050003
2014-10-22,76.550003
2014-10-23,76.970001
2014-10-24,77.169998
2014-10-27,77.010002
2014-10-28,77.400002
2014-10-29,77.830002
2014-10-30,77.419998
2014-10-31,78.389999
2014-11-03,79.029999
2014-11-04,79.660004
2014-11-05,79.980003
2014-11-06,79.610001
2014-11-07,79.110001
2014-11-10,78.75
2014-11-11,79.550003
2014-11-12,79.300003
2014-11-13,78.830002
2014-11-14,79.099998
2014-11-17,78.349998
2014-11-18,78.809998
2014-11-19,78.919998
2014-11-20,78.370003
2014-11-21,79.290001
2014-11-24,79.339996
2014-11-25,79.629997
2014-11-26,79.650002
2014-11-28,80.57
2014-12-01,80.5
2014-12-02,80.360001
2014-12-03,80.889999
2014-12-04,80.769997
2014-12-05,80.82
2014-12-08,80.449997
2014-12-09,80.300003
2014-12-10,81.260002
2014-12-11,81.379997
2014-12-12,81.360001
2014-12-15,81.279999
2014-12-16,79.779999
2014-12-17,79.790001
2014-12-18,82.07
2014-12-19,82.239998
2014-12-22,81.150002
2014-12-23,82.57
2014-12-24,82.260002
2014-12-26,82.120003
2014-12-29,81.900002
2014-12-30,82.440002
2014-12-31,82.769997
2015-01-02,81.699997
2015-01-05,82
2015-01-06,82.75
2015-01-07,83.809998
2015-01-08,85.349998
2015-01-09,85.089996
2015-01-12,85.339996
2015-01-13,86.080002
2015-01-14,85.599998
2015-01-15,86.57
2015-01-16,86.589996
2015-01-20,87.730003
2015-01-21,86.690002
2015-01-22,86.93
2015-01-23,88.110001
2015-01-26,88
2015-01-27,88.400002
2015-01-28,88.830002
2015-01-29,88.459999
2015-01-30,88.209999
2015-02-02,86.529999
2015-02-03,86.330002
2015-02-04,86.870003
2015-02-05,86.919998
2015-02-06,87.540001
2015-02-09,85.120003
2015-02-10,84.75
2015-02-11,85.040001
2015-02-12,84.82
2015-02-13,85.900002
2015-02-17,85
2015-02-18,84.839996
2015-02-19,85.690002
2015-02-20,83.82
2015-02-23,84.620003
2015-02-24,85.150002
2015-02-25,83.699997
2015-02-26,83.620003
2015-02-27,82.980003
2015-03-02,83.580002
2015-03-03,83.739998
2015-03-04,83.690002
2015-03-05,83.099998
2015-03-06,82.059998
2015-03-09,80.650002
2015-03-10,80.769997
2015-03-11,81.050003
2015-03-12,81.32
2015-03-13,82.419998
2015-03-16,82.839996
2015-03-17,83.07
2015-03-18,83.209999
2015-03-19,84.82
2015-03-20,85.400002
2015-03-23,87.029999
2015-03-24,86.860001
2015-03-25,85.889999
2015-03-26,83.980003
2015-03-27,83.82
2015-03-30,84.220001
2015-03-31,84.68
2015-04-01,84.370003
2015-04-02,84.339996
2015-04-06,85.110001
2015-04-07,85.690002
2015-04-08,84.470001
2015-04-09,84.190002
2015-04-10,83.010002
2015-04-13,82.489998
2015-04-14,82.480003
2015-04-15,82.919998
2015-04-16,81.82
2015-04-17,81.860001
2015-04-20,82.129997
2015-04-21,82.139999
2015-04-22,82.080002
2015-04-23,82.220001
2015-04-24,82.540001
2015-04-27,82.690002
2015-04-28,82.43
2015-04-29,81.559998
2015-04-30,80.370003
2015-05-01,79.470001
2015-05-04,80.239998
2015-05-05,80.019997
2015-05-06,78.349998
2015-05-07,78.279999
2015-05-08,80.150002
2015-05-11,80.169998
2015-05-12,78.68
2015-05-13,80
2015-05-14,79.190002
2015-05-15,80.599998
2015-05-18,80.82
2015-05-19,80.480003
2015-05-20,80.709999
2015-05-21,80.610001
2015-05-22,79.860001
2015-05-26,80
2015-05-27,79.739998
2015-05-28,80.169998
2015-05-29,79.93
2015-06-01,79.389999
2015-06-02,79.760002
2015-06-03,79.150002
2015-06-04,78.150002
2015-06-05,77.050003
2015-06-08,77.199997
2015-06-09,76.82
2015-06-10,76.470001
2015-06-11,77.620003
2015-06-12,77.239998
2015-06-15,77.379997
2015-06-16,77.099998
2015-06-17,77.709999
2015-06-18,78.360001
2015-06-19,79.440002
2015-06-22,78.779999
2015-06-23,77.650002
2015-06-24,77.349998
2015-06-25,77
2015-06-26,75.300003
2015-06-29,75.620003
2015-06-30,75.129997
2015-07-01,74.379997
2015-07-02,76.459999
2015-07-06,75.730003
2015-07-07,77
2015-07-08,77.370003
2015-07-09,77.68
2015-07-10,77.440002
2015-07-13,77.82
2015-07-14,78
2015-07-15,77.830002
2015-07-16,78.290001
2015-07-17,78.739998
2015-07-20,78.32
2015-07-21,78.68
2015-07-22,78.449997
2015-07-23,78.669998
2015-07-24,77.769997
2015-07-27,77.940002
2015-07-28,78.220001
2015-07-29,78.169998
2015-07-30,78.650002
2015-07-31,78.919998
2015-08-03,79.269997
2015-08-04,79.720001
2015-08-05,79
2015-08-06,78.459999
2015-08-07,78.370003
2015-08-10,79.099998
2015-08-11,78.339996
2015-08-12,78.779999
2015-08-13,79.129997
2015-08-14,79.169998
2015-08-17,79.910004
2015-08-18,80.470001
2015-08-19,80.510002
2015-08-20,79.860001
2015-08-21,79.260002
2015-08-24,75.519997
2015-08-25,75.519997
2015-08-26,73.190002
2015-08-27,75.120003
2015-08-28,75.82
2015-08-31,75.580002
2015-09-01,73.290001
2015-09-02,73.089996
2015-09-03,73.620003
2015-09-04,73.120003
2015-09-08,72.839996
2015-09-09,73.870003
2015-09-10,72.330002
2015-09-11,72.599998
2015-09-14,74.110001
2015-09-15,74.07
2015-09-16,74.720001
2015-09-17,75.650002
2015-09-18,75.889999
2015-09-21,76.339996
2015-09-22,76.410004
2015-09-23,75.5
2015-09-24,75.589996
2015-09-25,75.32
2015-09-28,75.120003
2015-09-29,74.57
2015-09-30,75.449997
2015-10-01,75.660004
2015-10-02,76.110001
2015-10-05,76.779999
2015-10-06,77.790001
2015-10-07,77.879997
2015-10-08,78.389999
2015-10-09,79.110001
2015-10-12,79.160004
2015-10-13,79.300003
2015-10-14,79.089996
2015-10-15,78.419998
2015-10-16,79.459999
2015-10-19,79.980003
2015-10-20,80.980003
2015-10-21,81.25
2015-10-22,80.959999
2015-10-23,81.540001
2015-10-26,80.75
2015-10-27,80.690002
2015-10-28,80.669998
2015-10-29,80.5
2015-10-30,80.639999
2015-11-02,80.07
2015-11-03,81.410004
2015-11-04,80.82
2015-11-05,80.440002
2015-11-06,79.43
2015-11-09,77.720001
2015-11-10,76.870003
2015-11-11,77.760002
2015-11-12,77.639999
2015-11-13,77.360001
2015-11-16,76.269997
2015-11-17,77.110001
2015-11-18,77.410004
2015-11-19,78.099998
2015-11-20,78.730003
2015-11-23,79.260002
2015-11-24,78.959999
2015-11-25,79.010002
2015-11-27,79.260002
2015-11-30,80.269997
2015-12-01,79.5
2015-12-02,80.260002
2015-12-03,78.730003
2015-12-04,77.68
2015-12-07,78.959999
2015-12-08,78.440002
2015-12-09,78.529999
2015-12-10,78.489998
2015-12-11,77.620003
2015-12-14,77.769997
