Date,Price
2014-03-31,89.760002
2014-04-01,90.629997
2014-04-02,89.779999
2014-04-03,89.910004
2014-04-04,90.349998
2014-04-07,90.57
2014-04-08,90.279999
2014-04-09,91.599998
2014-04-10,91.230003
2014-04-11,90.709999
2014-04-14,91.029999
2014-04-15,91.300003
2014-04-16,92.599998
2014-04-17,93.019997
2014-04-21,92.339996
2014-04-22,92.029999
2014-04-23,92.32
2014-04-24,92.32
2014-04-25,92.870003
2014-04-28,93.889999
2014-04-29,94.32
2014-04-30,93.860001
2014-05-01,94
2014-05-02,94.150002
2014-05-05,92.410004
2014-05-06,93.339996
2014-05-07,93.059998
2014-05-08,94.290001
2014-05-09,93.379997
2014-05-12,92.239998
2014-05-13,91.480003
2014-05-14,91.5
2014-05-15,91.980003
2014-05-16,91.75
2014-05-19,91.800003
2014-05-20,90.459999
2014-05-21,90.68
2014-05-22,90.690002
2014-05-23,91.18
2014-05-27,92
2014-05-28,92.25
2014-05-29,92.599998
2014-05-30,92.610001
2014-06-02,93.279999
2014-06-03,93.089996
2014-06-04,93.300003
2014-06-05,93.559998
2014-06-06,94.540001
2014-06-09,93.910004
2014-06-10,93.459999
2014-06-11,92.860001
2014-06-12,91.989998
2014-06-13,92.209999
2014-06-16,93
2014-06-17,93.449997
2014-06-18,93.489998
2014-06-19,95.489998
2014-06-20,96.080002
2014-06-23,95.410004
2014-06-24,94.709999
2014-06-25,94.809998
2014-06-26,95.260002
2014-06-27,95.480003
2014-06-30,95.889999
2014-07-01,96.709999
2014-07-02,95.82
2014-07-03,93.599998
2014-07-07,92.980003
2014-07-08,93.300003
2014-07-09,94.120003
2014-07-10,93.529999
2014-07-11,94.360001
2014-07-14,93.889999
2014-07-15,92.550003
2014-07-16,93.169998
2014-07-17,93.099998
2014-07-18,92.449997
2014-07-21,93.239998
2014-07-22,93.309998
2014-07-23,93.089996
2014-07-24,93.019997
2014-07-25,93.260002
2014-07-28,92.5
2014-07-29,94.059998
2014-07-30,92.919998
2014-07-31,91.080002
2014-08-01,89.739998
2014-08-04,90.389999
2014-08-05,89.68
2014-08-06,88.32
2014-08-07,87.989998
2014-08-08,88.769997
2014-08-11,90.529999
2014-08-12,90.07
2014-08-13,90.199997
2014-08-14,90.580002
2014-08-15,91.510002
2014-08-18,91.949997
2014-08-19,91.709999
2014-08-20,92.550003
2014-08-21,92.82
2014-08-22,93.220001
2014-08-25,93.07
2014-08-26,93.459999
2014-08-27,92.540001
2014-08-28,93.25
2014-08-29,94
2014-09-02,94.57
2014-09-03,93.970001
2014-09-04,94.080002
2014-09-05,94.32
2014-09-08,95.260002
2014-09-09,94.610001
2014-09-10,93.599998
2014-09-11,93.150002
2014-09-12,93.610001
2014-09-15,92.449997
2014-09-16,92.290001
2014-09-17,93.839996
2014-09-18,93.519997
2014-09-19,92.760002
2014-09-22,92.5
2014-09-23,91.75
2014-09-24,91.379997
2014-09-25,91.099998
2014-09-26,90.650002
2014-09-29,90.410004
2014-09-30,91.349998
2014-10-01,91.32
2014-10-02,91.489998
2014-10-03,91.779999
2014-10-06,92.440002
2014-10-07,91.93
2014-10-08,92.099998
2014-10-09,93.970001
2014-10-10,92.540001
2014-10-13,93.010002
2014-10-14,93.269997
2014-10-15,93.480003
2014-10-16,91.480003
2014-10-17,93.480003
2014-10-20,93.260002
2014-10-21,94.900002
2014-10-22,95.139999
2014-10-23,96.089996
2014-10-24,95.980003
2014-10-27,96.559998
2014-10-28,96.660004
2014-10-29,97.470001
2014-10-30,96.739998
2014-10-31,99.370003
2014-11-03,99.110001
2014-11-04,99.589996
2014-11-05,99.07
2014-11-06,100.879997
2014-11-07,99.690002
2014-11-10,100.620003
2014-11-11,101.029999
2014-11-12,100.559998
2014-11-13,99.18
2014-11-14,98.120003
2014-11-17,97.790001
2014-11-18,98.889999
2014-11-19,99.199997
2014-11-20,98.699997
2014-11-21,99.339996
2014-11-24,99.400002
2014-11-25,98.559998
2014-11-26,98.440002
2014-11-28,99.019997
2014-12-01,99.760002
2014-12-02,100.32
2014-12-03,100.489998
2014-12-04,100.360001
2014-12-05,99.419998
2014-12-08,99.580002
2014-12-09,99.730003
2014-12-10,100.769997
2014-12-11,99.559998
2014-12-12,100.080002
2014-12-15,99.510002
2014-12-16,98.290001
2014-12-17,98.550003
2014-12-18,100
2014-12-19,101.5
2014-12-22,101.389999
2014-12-23,101.690002
2014-12-24,101.900002
2014-12-26,103.800003
2014-12-29,105.010002
2014-12-30,106.379997
2014-12-31,104.32
2015-01-02,102.639999
2015-01-05,102.75
2015-01-06,101.730003
2015-01-07,102.029999
2015-01-08,103.309998
2015-01-09,103.57
2015-01-12,102.849998
2015-01-13,102.910004
2015-01-14,102.389999
2015-01-15,104.07
2015-01-16,104.339996
2015-01-20,105.870003
2015-01-21,105.5
2015-01-22,107
2015-01-23,106.190002
2015-01-26,106.860001
2015-01-27,106.260002
2015-01-28,106.769997
2015-01-29,105.720001
2015-01-30,106.919998
2015-02-02,104.879997
2015-02-03,105.129997
2015-02-04,105.519997
2015-02-05,104.580002
2015-02-06,104.989998
2015-02-09,100.900002
2015-02-10,100.099998
2015-02-11,101.720001
2015-02-12,100.110001
2015-02-13,99.389999
2015-02-17,97.010002
2015-02-18,97.870003
2015-02-19,99.900002
2015-02-20,99.330002
2015-02-23,99.25
2015-02-24,99.889999
2015-02-25,100.57
2015-02-26,99.300003
2015-02-27,98.57
2015-03-02,98.300003
2015-03-03,96.220001
2015-03-04,96.900002
2015-03-05,96.589996
2015-03-06,96.029999
2015-03-09,94.440002
2015-03-10,94.169998
2015-03-11,94.470001
2015-03-12,94.099998
2015-03-13,95.389999
2015-03-16,94.900002
2015-03-17,95.900002
2015-03-18,96.010002
2015-03-19,98.209999
2015-03-20,98.279999
2015-03-23,97.910004
2015-03-24,97.900002
2015-03-25,96.980003
2015-03-26,95.510002
2015-03-27,95.099998
2015-03-30,96
2015-03-31,96.529999
2015-04-01,96.599998
2015-04-02,96.75
2015-04-06,97.440002
2015-04-07,98.389999
2015-04-08,97.480003
2015-04-09,96.980003
2015-04-10,96.739998
2015-04-13,97.220001
2015-04-14,96.580002
2015-04-15,97.080002
2015-04-16,97
2015-04-17,96.129997
2015-04-20,96.580002
2015-04-21,97.730003
2015-04-22,96.910004
2015-04-23,96.809998
2015-04-24,97.510002
2015-04-27,98.57
2015-04-28,97.029999
2015-04-29,97.379997
2015-04-30,97.300003
2015-05-01,96.330002
2015-05-04,96.959999
2015-05-05,97.260002
2015-05-06,95.18
2015-05-07,94.730003
2015-05-08,95.830002
2015-05-11,95.589996
2015-05-12,94.68
2015-05-13,95.080002
2015-05-14,94.32
2015-05-15,95.339996
2015-05-18,95.970001
2015-05-19,96.360001
2015-05-20,96.910004
2015-05-21,97
2015-05-22,96.730003
2015-05-26,96.599998
2015-05-27,96.169998
2015-05-28,96.459999
2015-05-29,96.730003
2015-06-01,96.790001
2015-06-02,96.510002
2015-06-03,95.370003
2015-06-04,94.040001
2015-06-05,93
2015-06-08,92.830002
2015-06-09,92.290001
2015-06-10,92.82
2015-06-11,93.050003
2015-06-12,92.93
2015-06-15,92.099998
2015-06-16,92.019997
2015-06-17,92.519997
2015-06-18,93.330002
2015-06-19,94.57
2015-06-22,93.889999
2015-06-23,93.330002
2015-06-24,92.440002
2015-06-25,91.949997
2015-06-26,90.25
2015-06-29,90.529999
2015-06-30,90.519997
2015-07-01,90.040001
2015-07-02,90.849998
2015-07-06,91.339996
2015-07-07,92.169998
2015-07-08,93.660004
2015-07-09,93.82
2015-07-10,92.669998
2015-07-13,93.300003
2015-07-14,93.029999
2015-07-15,92.93
2015-07-16,93.379997
2015-07-17,94.650002
2015-07-20,93.739998
2015-07-21,93.019997
2015-07-22,92.239998
2015-07-23,92.589996
2015-07-24,91.309998
2015-07-27,91.260002
2015-07-28,92.599998
2015-07-29,92.82
2015-07-30,93.220001
2015-07-31,94.449997
2015-08-03,94.900002
2015-08-04,95.129997
2015-08-05,93.860001
2015-08-06,94.059998
2015-08-07,94.150002
2015-08-10,95.290001
2015-08-11,95.059998
2015-08-12,95.239998
2015-08-13,96.830002
2015-08-14,96.970001
2015-08-17,98.07
2015-08-18,98.339996
2015-08-19,97.849998
2015-08-20,98.099998
2015-08-21,97.400002
2015-08-24,95.57
2015-08-25,94.080002
2015-08-26,91.160004
2015-08-27,92.480003
2015-08-28,92.919998
2015-08-31,92.519997
2015-09-01,90.519997
2015-09-02,89.790001
2015-09-03,89.199997
2015-09-04,88.889999
2015-09-08,89.099998
2015-09-09,90.209999
2015-09-10,88.949997
2015-09-11,88.5
2015-09-14,89.440002
2015-09-15,89.709999
2015-09-16,90.220001
2015-09-17,91.07
2015-09-18,91.650002
2015-09-21,91.949997
2015-09-22,91.629997
2015-09-23,91.110001
2015-09-24,90.940002
2015-09-25,91.360001
2015-09-28,91.68
2015-09-29,91.540001
2015-09-30,91.790001
2015-10-01,93.18
2015-10-02,92.410004
2015-10-05,93.669998
2015-10-06,94.580002
2015-10-07,94.120003
2015-10-08,93.589996
2015-10-09,94.989998
2015-10-12,94.720001
2015-10-13,95.169998
2015-10-14,95.220001
2015-10-15,95.190002
2015-10-16,96.639999
2015-10-19,96.440002
2015-10-20,96.639999
2015-10-21,97.120003
2015-10-22,96.989998
2015-10-23,97.870003
2015-10-26,96.290001
2015-10-27,95.980003
2015-10-28,95.720001
2015-10-29,94.389999
2015-10-30,94.449997
2015-11-02,94.889999
2015-11-03,94.639999
2015-11-04,95.279999
2015-11-05,95.730003
2015-11-06,93.559998
2015-11-09,91
2015-11-10,91.620003
2015-11-11,92.610001
2015-11-12,92.959999
2015-11-13,92.199997
2015-11-16,91.709999
2015-11-17,93.32
2015-11-18,91.82
2015-11-19,92.410004
2015-11-20,93.5
2015-11-23,93.620003
2015-11-24,92.690002
2015-11-25,92.849998
2015-11-27,92.5
2015-11-30,92.599998
2015-12-01,93.120003
2015-12-02,93.349998
2015-12-03,91.589996
2015-12-04,90.879997
2015-12-07,91.760002
2015-12-08,91.739998
2015-12-09,91.769997
2015-12-10,92.059998
2015-12-11,90.389999
2015-12-14,90.209999
2015-12-15,90.830002
2015-12-16,91.699997
2015-12-17,92.980003
2015-12-18,92.809998
2015-12-21,92.440002
2015-12-22,92.239998
2015-12-23,93.099998
2015-12-24,94.290001
2015-12-28,94.010002
2015-12-29,94.910004
2015-12-30,95.110001
2015-12-31,94.839996
2016-01-04,93.279999
2016-01-05,93.639999
2016-01-06,93.739998
2016-01-07,93.040001
2016-01-08,93.620003
2016-01-11,93.57
2016-01-12,94.32
2016-01-13,93.690002
